col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
address.address_id,customer.address_id,address,customer,0.085691,0.02329895673878229,1.0,0.07205,0.994175,0.994175
customer.address_id,staff.address_id,customer,staff,0.215401,0.058566460660868055,1.0,0.072967,0.985358,0.985358
customer.address_id,store.address_id,customer,store,0.238345,0.06480482015503454,1.0,0.068452,0.983799,0.983799
address.address_id,store.address_id,address,store,0.240499,0.06539048204269295,1.0,0.044222,0.983652,0.983652
address.address_id,staff.address_id,address,staff,0.301092,0.08186541739965035,1.0,0.047139,0.979534,0.979534
language.last_update,rental.last_update,language,rental,0.311009,0.08456180038010924,1.0,0.030437,0.97886,0.97886
customer.active,staff.active,customer,staff,0.311009,0.08456180038010924,1.0,0.107783,0.97886,0.97886
category.last_update,rental.last_update,category,rental,0.311009,0.08456180038010924,1.0,0.034613,0.97886,0.97886
customer.last_update,rental.last_update,customer,rental,0.311009,0.08456180038010924,1.0,0.045533,0.97886,0.97886
rental.last_update,staff.last_update,rental,staff,0.311009,0.08456180038010924,1.0,0.02812,0.97886,0.97886
film.last_update,rental.last_update,film,rental,0.311009,0.08456180038010924,1.0,0.047792,0.97886,0.97886
actor.last_update,rental.last_update,actor,rental,0.311009,0.08456180038010924,1.0,0.036558,0.97886,0.97886
city.last_update,rental.last_update,city,rental,0.311009,0.08456180038010924,1.0,0.026425,0.97886,0.97886
rental.last_update,store.last_update,rental,store,0.311009,0.08456180038010924,1.0,0.037385,0.97886,0.97886
film_category.last_update,rental.last_update,film_category,rental,0.311009,0.08456180038010924,1.0,0.047576,0.97886,0.97886
inventory.last_update,rental.last_update,inventory,rental,0.311009,0.08456180038010924,1.0,0.072851,0.97886,0.97886
payment.last_update,rental.last_update,payment,rental,0.343867,0.09349572716965433,1.0,0.042826,0.976626,0.976626
address.last_update,rental.last_update,address,rental,0.34452,0.09367327462213389,1.0,0.021223,0.976582,0.976582
customer.last_name,staff.last_name,customer,staff,0.364768,0.09917860512413366,1.0,0.056934,0.975205,0.975205
customer.first_name,staff.first_name,customer,staff,0.3809,0.1035648156959561,1.0,0.062242,0.974109,0.974109
actor.first_name,staff.first_name,actor,staff,0.39393,0.107107607894744,1.0,0.024665,0.973223,0.973223
customer.email,staff.email,customer,staff,0.400149,0.10879852306621458,1.0,0.048935,0.9728,0.9728
actor.last_name,staff.last_name,actor,staff,0.400598,0.10892060393323345,1.0,0.020742,0.97277,0.97277
film.language_id,language.language_id,film,language,0.619116,0.16833456139253755,1.0,0.066284,0.957916,0.957916
payment.last_update,store.last_update,payment,store,0.654876,0.1780575275497636,1.0,0.035785,0.955486,0.955486
payment.last_update,staff.last_update,payment,staff,0.654876,0.1780575275497636,1.0,0.029277,0.955486,0.955486
city.last_update,payment.last_update,city,payment,0.654876,0.1780575275497636,1.0,0.021458,0.955486,0.955486
customer.last_update,payment.last_update,customer,payment,0.654876,0.1780575275497636,1.0,0.05188,0.955486,0.955486
category.last_update,payment.last_update,category,payment,0.654876,0.1780575275497636,1.0,0.027253,0.955486,0.955486
actor.last_update,payment.last_update,actor,payment,0.654876,0.1780575275497636,1.0,0.024101,0.955486,0.955486
film.last_update,payment.last_update,film,payment,0.654876,0.1780575275497636,1.0,0.032636,0.955486,0.955486
language.last_update,payment.last_update,language,payment,0.654876,0.1780575275497636,1.0,0.026038,0.955486,0.955486
film_category.last_update,payment.last_update,film_category,payment,0.654876,0.1780575275497636,1.0,0.036869,0.955486,0.955486
inventory.last_update,payment.last_update,inventory,payment,0.654876,0.1780575275497636,1.0,0.047214,0.955486,0.955486
actor.last_update,address.last_update,actor,address,0.655529,0.17823507500224314,1.0,0.020265,0.955441,0.955441
address.last_update,category.last_update,address,category,0.655529,0.17823507500224314,1.0,0.020602,0.955441,0.955441
address.last_update,city.last_update,address,city,0.655529,0.17823507500224314,1.0,0.019533,0.955441,0.955441
address.last_update,language.last_update,address,language,0.655529,0.17823507500224314,1.0,0.018474,0.955441,0.955441
address.last_update,customer.last_update,address,customer,0.655529,0.17823507500224314,1.0,0.049217,0.955441,0.955441
address.last_update,film_category.last_update,address,film_category,0.655529,0.17823507500224314,1.0,0.022451,0.955441,0.955441
address.last_update,inventory.last_update,address,inventory,0.655529,0.17823507500224314,1.0,0.040384,0.955441,0.955441
address.last_update,film.last_update,address,film,0.655529,0.17823507500224314,1.0,0.026493,0.955441,0.955441
address.last_update,store.last_update,address,store,0.655529,0.17823507500224314,1.0,0.033948,0.955441,0.955441
address.last_update,staff.last_update,address,staff,0.655529,0.17823507500224314,1.0,0.027774,0.955441,0.955441
film.rental_rate,rental.rental_date,film,rental,0.445282,0.12106996130933768,0.909091,0.075509,0.901551,0.901551
address.address,address.address2,address,address,0.917795,0.24954389609259658,0.875,0.034959,0.843864,0.843864
staff.first_name,staff.last_name,staff,staff,6.2e-05,1.6857491659620055e-05,0.7,0.036547,0.774996,0.774996
actor.first_name,actor.last_name,actor,actor,0.006719,0.0018268626848546314,0.7,0.022489,0.774543,0.774543
customer.first_name,customer.last_name,customer,customer,0.016116,0.004381860251394141,0.7,0.096963,0.773905,0.773905
actor.last_name,customer.first_name,actor,customer,0.019739,0.0053669359333748425,0.7,0.035325,0.773658,0.773658
actor.first_name,customer.last_name,actor,customer,0.029161,0.007928730875583554,0.7,0.038424,0.773018,0.773018
address.address_id,address.address,address,address,0.2813,0.07648407102985678,0.7,0.033278,0.755879,0.755879
address.address,customer.address_id,address,customer,0.327887,0.08915084464190065,0.7,0.051511,0.752712,0.752712
customer.last_name,staff.first_name,customer,staff,0.364794,0.09918567439482964,0.7,0.059749,0.750204,0.750204
customer.first_name,staff.last_name,customer,staff,0.380878,0.10355883400536721,0.7,0.059309,0.74911,0.74911
actor.first_name,staff.last_name,actor,staff,0.393929,0.10710733599971722,0.7,0.023503,0.748223,0.748223
actor.last_name,staff.first_name,actor,staff,0.400639,0.10893175162933096,0.7,0.021768,0.747767,0.747767
address.address,store.address_id,address,store,0.482695,0.13124236994581132,0.7,0.031616,0.742189,0.742189
address.address,staff.address_id,address,staff,0.543287,0.14771703340774192,0.7,0.033701,0.738071,0.738071
address.address2,store.address_id,address,store,0.580546,0.1578475702100933,0.7,0.046457,0.735538,0.735538
film.rental_duration,film.rental_rate,film,film,0.214813,0.058406586385128426,0.666667,0.075372,0.735399,0.735399
address.address2,staff.address_id,address,staff,0.641139,0.17432250556705067,0.7,0.049521,0.731419,0.731419
payment.payment_id,payment.payment_date,payment,payment,0.290453,0.0789727262098649,0.666667,0.048812,0.730257,0.730257
film.rental_duration,rental.rental_date,film,rental,0.311333,0.0846498943687821,0.666667,0.069117,0.728838,0.728838
rental.rental_date,rental.return_date,rental,rental,0.0,0.0,0.636364,0.066874,0.727273,0.727273
rental.last_update,staff.last_name,rental,staff,0.013829,0.0037600363251755757,0.636364,0.026149,0.726333,0.726333
customer.last_name,payment.last_update,customer,payment,0.034731,0.009443186174681678,0.636364,0.048709,0.724912,0.724912
address.last_update,customer.last_name,address,customer,0.035384,0.009620733627161225,0.636364,0.046209,0.724868,0.724868
address.address_id,address.address2,address,address,0.772305,0.20998588864811074,0.7,0.048898,0.722504,0.722504
actor.last_name,payment.last_update,actor,payment,0.070519,0.0191737653926572,0.636364,0.017746,0.72248,0.72248
actor.last_name,address.last_update,actor,address,0.071172,0.019351312845136748,0.636364,0.016835,0.722435,0.722435
address.address2,customer.address_id,address,customer,0.818892,0.2226526622601546,0.7,0.075691,0.719337,0.719337
customer.store_id,rental.staff_id,customer,rental,0.0,0.0,0.625,0.080687,0.71875,0.71875
inventory.store_id,payment.staff_id,inventory,payment,0.0,0.0,0.625,0.045545,0.71875,0.71875
customer.store_id,payment.staff_id,customer,payment,0.0,0.0,0.625,0.077107,0.71875,0.71875
staff.staff_id,store.store_id,staff,store,0.0,0.0,0.625,0.054344,0.71875,0.71875
staff.staff_id,staff.store_id,staff,staff,0.0,0.0,0.625,0.050312,0.71875,0.71875
payment.staff_id,store.store_id,payment,store,0.0,0.0,0.625,0.051626,0.71875,0.71875
customer.store_id,staff.staff_id,customer,staff,0.0,0.0,0.625,0.081167,0.71875,0.71875
inventory.store_id,staff.staff_id,inventory,staff,0.0,0.0,0.625,0.050979,0.71875,0.71875
payment.staff_id,staff.store_id,payment,staff,0.0,0.0,0.625,0.047796,0.71875,0.71875
rental.staff_id,staff.store_id,rental,staff,0.0,0.0,0.625,0.050014,0.71875,0.71875
rental.staff_id,store.store_id,rental,store,0.0,0.0,0.625,0.054023,0.71875,0.71875
