col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
actor.actor_id,rental.customer_id,actor,rental,0.026571,0.007225,0.545455,0.054696,0.657285
actor.actor_id,rental.return_date,actor,rental,0.290453,0.078973,0.272727,0.047390,0.434802
actor.actor_id,rental.staff_id,actor,rental,0.240499,0.065390,0.375000,0.053496,0.514902
actor.actor_id,rental.last_update,actor,rental,0.339740,0.092374,0.181818,0.040904,0.363270
actor.actor_id,staff.staff_id,actor,staff,0.240499,0.065390,0.375000,0.040663,0.514902
actor.actor_id,staff.first_name,actor,staff,0.326331,0.088728,0.100000,0.033558,0.302818
actor.actor_id,staff.last_name,actor,staff,0.326268,0.088711,0.222222,0.031977,0.394489
actor.actor_id,staff.address_id,actor,staff,0.301092,0.081865,0.400000,0.037439,0.529534
actor.actor_id,staff.picture,actor,staff,1.692652,0.460224,0.250000,0.048772,0.322444
actor.actor_id,staff.email,actor,staff,0.339600,0.092336,0.125000,0.030415,0.320666
actor.actor_id,staff.store_id,actor,staff,0.240499,0.065390,0.625000,0.036329,0.702402
actor.actor_id,staff.active,actor,staff,0.619116,0.168335,0.375000,0.045799,0.489166
actor.actor_id,staff.username,actor,staff,0.326331,0.088728,0.000000,0.039701,0.227818
actor.actor_id,staff.password,actor,staff,0.618510,0.168170,0.250000,0.035111,0.395458
actor.actor_id,staff.last_update,actor,staff,0.618836,0.168258,0.181818,0.031422,0.344299
actor.actor_id,store.store_id,actor,store,0.240499,0.065390,0.625000,0.041001,0.702402
actor.actor_id,store.manager_staff_id,actor,store,0.240499,0.065390,0.312500,0.042248,0.468027
actor.actor_id,store.address_id,actor,store,0.240499,0.065390,0.400000,0.038053,0.533652
actor.actor_id,store.last_update,actor,store,0.618836,0.168258,0.181818,0.040295,0.344299
actor.first_name,actor.last_name,actor,actor,0.006719,0.001827,0.700000,0.022489,0.774543
actor.first_name,actor.last_update,actor,actor,0.718767,0.195429,0.363636,0.023770,0.473870
actor.first_name,address.address_id,actor,address,0.292222,0.079454,0.100000,0.027172,0.305137
actor.first_name,address.address,actor,address,0.010922,0.002970,0.000000,0.019426,0.249258
